mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_1148_30;terpene	0	0	0	0	0	0	0	0	0	0.29166998639522385	0.0848001769359515	0	0	0	0.7437817501812874	0
MAG_216_11;RRE-containing	0	0.5921753476857208	0	0	0	0	0	0	0	0.1993041050952794	0	0.3178402780832158	0	0.1436259769109004	0	0
MAG_1548_1;ranthipeptide	0	0	0.6576713734571314	0	0	0	0	0	0	0	0	0.5593847199258658	0	0	0	0
MAG_216_19;NRPS-like	0	0	0.4449488585383588	0	0	0	0	0	0.16201427062297882	0	0.5324185116597286	0.2667727375750792	0	0	0	0
MAG_841_29;terpene	0	0	0	0	0	0	0	0.2631231997734827	0.3575387540204657	0.12266424496419845	0	0.17124627561575034	0.5680150938285001	0.13796952500786774	0	0
MAG_975_12;RRE-containing	0	0	0.5294741544809908	0	0	0.7766547902047455	0	0	0	0	0	0.15304459586603622	0	0	0	0
MAG_78_15;RRE-containing	0	0	0	0	0.36625740097857007	1.126107582101417	0	0	0	0	0	0	0	0	0	0
MAG_595_16;NRPS-like	0	0	0	0	0	0	0	0	0	0	0.8767643313101777	0.6088469731057451	0.2835211428225936	0	0	0
MAG_1148_14;arylpolyene	0	0	0	0	0	0	0	0	0.20031945811721055	0.23852687083106625	0.5967587690280104	0.4110706137815983	0	0.14209287487492644	0.397718165072475	0.1345041197402235
MAG_654_8;RRE-containing	0	0	0	0	0	1.2825708345828473	0	0	0	0	0	0	0	0	0	0
MAG_1194_23;phosphonate	0	0	0	0	0	0	0	0	0	0.53401654830326	0.6355618007184168	0.15559569288386407	0	0.5257684036460699	0	0.6551624130295565
MAG_1534_24;thiopeptide	0	0	0	0	0	1.5072483647344372	0	0	0	0	0	0	0	0	0	0
MAG_209_12;betalactone	0	0	0	0	0	0	0	0	0.727206897360619	0.26498249422909753	0.3057192832729902	0.33713912324064893	0.795184356776273	0.6137217103834789	0	0
MAG_205_16;betalactone	0	0	0.35038455352314485	1.0969805531283667	0	0	0	0	0.4364494844038448	0.16986449576741558	0.27806123191983734	0.6914772358841218	0.318185558770322	0	0	0
MAG_773_15;terpene	0	0	0	0	0	0	0	0.19177217470784055	1.008938754858844	0.712025959558931	0.32275225881739555	0.1778234502778875	0.6798373529600561	0.27995990128816994	0.09493542657405599	0.38548270516048516
MAG_335_22;RRE-containing	0	0	0	0.9693413490112868	0	0	0	0	0.1990800422934352	0.29658316403669455	1.44778038661337	0.22407177474633969	0.10026399325491811	0	0	0
